Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
AF,Afghanistan,OAKB,Kabul International Airport,34.565899,69.212303,Commercial Passenger,1599,2203120,32541416,419405,3437502,27955966
AF,Afghanistan,OAKB,Kabul International Airport,34.565899,69.212303,General Aviation,11,10848,138040,1440,15986,144028
AL,Albania,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,Commercial Passenger,24098,19232115,272499014,1602791,15647594,199443350
AL,Albania,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,Commercial Freighter,103,20442,184325,8839,3690,279444
AL,Albania,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,General Aviation,298,55841,771033,5760,99714,2652469
DZ,Algeria,DAAS,Ain Arnat Airport,36.178100585900005,5.3244900703399995,Commercial Passenger,914,697162,8745772,41782,1086190,8743068
DZ,Algeria,DAAS,Ain Arnat Airport,36.178100585900005,5.3244900703399995,Commercial Freighter,7,5208,44940,217,7098,98028
DZ,Algeria,DAAS,Ain Arnat Airport,36.178100585900005,5.3244900703399995,General Aviation,9,5452,60544,473,7822,70162
DZ,Algeria,DABB,Annaba Rabah Bitat Airport,36.826781,7.81334,Commercial Passenger,1702,1162862,12806051,80435,1729583,14726120
DZ,Algeria,DABB,Annaba Rabah Bitat Airport,36.826781,7.81334,Commercial Freighter,107,90666,988028,4278,68728,1202384
DZ,Algeria,DABB,Annaba Rabah Bitat Airport,36.826781,7.81334,General Aviation,142,57369,586270,7433,75454,745316
DZ,Algeria,DAAG,Houari Boumediene Airport,36.693886,3.214531,Commercial Passenger,24714,22265731,299239140,1532942,27200731,238285202
DZ,Algeria,DAAG,Houari Boumediene Airport,36.693886,3.214531,Commercial Freighter,1980,1760162,20542408,93726,1729383,23063295
DZ,Algeria,DAAG,Houari Boumediene Airport,36.693886,3.214531,General Aviation,1167,706795,7256336,89820,1199217,7880147
DZ,Algeria,DABC,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,Commercial Passenger,2878,2324793,28166565,145089,2925760,27039705
DZ,Algeria,DABC,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,Commercial Freighter,37,33700,364904,2636,41240,486000
DZ,Algeria,DABC,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,General Aviation,133,77380,814782,7190,104379,971673
DZ,Algeria,DAOO,Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.623901,-0.621183,Commercial Passenger,7926,5789475,67323671,399049,8070748,69574515
