Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
AL,Albania,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,Commercial Passenger,24098,19232115,272499014,1602791,15647594,199443350
AL,Albania,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,Commercial Freighter,103,20442,184325,8839,3690,279444
AL,Albania,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,General Aviation,298,55841,771033,5760,99714,2652469
DZ,Algeria,DAAG,Houari Boumediene Airport,36.693886,3.214531,Commercial Passenger,24714,22265731,299239140,1532942,27200731,238285202
DZ,Algeria,DAAG,Houari Boumediene Airport,36.693886,3.214531,Commercial Freighter,1980,1760162,20542408,93726,1729383,23063295
DZ,Algeria,DAAG,Houari Boumediene Airport,36.693886,3.214531,General Aviation,1167,706795,7256336,89820,1199217,7880147
AR,Argentina,SABE,Jorge Newbery Airpark,-34.5592,-58.4156,Commercial Passenger,48688,35845686,449965994,2054762,48559416,444276080
AR,Argentina,SABE,Jorge Newbery Airpark,-34.5592,-58.4156,General Aviation,2549,1487272,13977323,76555,3118660,31276949
AR,Argentina,SAEZ,Minister Pistarini International Airport,-34.8222,-58.5358,Commercial Passenger,30051,36264406,592470239,2118669,31287238,329282944
AR,Argentina,SAEZ,Minister Pistarini International Airport,-34.8222,-58.5358,Commercial Freighter,1858,3667610,59324115,183507,5747963,39953887
AR,Argentina,SAEZ,Minister Pistarini International Airport,-34.8222,-58.5358,General Aviation,700,449619,5872733,30364,682472,7806937
AU,Australia,YPAD,Adelaide International Airport,-34.947512,138.533393,Commercial Passenger,46521,26520793,332881162,2585667,50718849,436986514
AU,Australia,YPAD,Adelaide International Airport,-34.947512,138.533393,Commercial Freighter,1124,805189,7853391,57225,1337341,11882614
AU,Australia,YPAD,Adelaide International Airport,-34.947512,138.533393,General Aviation,1886,102438,914253,23396,991923,19998239
AU,Australia,YPPF,Adelaide Parafield Airport,-34.793300628699996,138.632995605,Commercial Passenger,46,5527,47735,2813,25469,213423
AU,Australia,YPPF,Adelaide Parafield Airport,-34.793300628699996,138.632995605,General Aviation,31133,247127,1031145,28658,4981644,206216660
AU,Australia,YBBN,Brisbane International Airport,-27.384199142456055,153.11700439453125,Commercial Passenger,96237,68244763,842066541,6065034,120369083,925422360
AU,Australia,YBBN,Brisbane International Airport,-27.384199142456055,153.11700439453125,Commercial Freighter,2982,2256016,25379237,246474,2759735,28961341
AU,Australia,YBBN,Brisbane International Airport,-27.384199142456055,153.11700439453125,General Aviation,1797,542026,6689980,90577,1832194,16118993
AU,Australia,YBCS,Cairns International Airport,-16.885799408,145.755004883,Commercial Passenger,26151,12902833,160693883,1675695,22296974,173510255
AU,Australia,YBCS,Cairns International Airport,-16.885799408,145.755004883,Commercial Freighter,689,478702,5776428,73119,463355,5564427
AU,Australia,YBCS,Cairns International Airport,-16.885799408,145.755004883,General Aviation,5899,649165,5800017,154975,2712172,81754739
AU,Australia,YSCB,Canberra International Airport,-35.3069,149.195007,Commercial Passenger,20987,9939618,98462972,1345901,15409660,180285906
AU,Australia,YSCB,Canberra International Airport,-35.3069,149.195007,Commercial Freighter,3,5074,71040,424,3434,40330
AU,Australia,YSCB,Canberra International Airport,-35.3069,149.195007,General Aviation,4237,66586,259167,15145,830900,34766188
AU,Australia,YPDN,Darwin International Airport / RAAF Darwin,-12.41497,130.88185,Commercial Passenger,19434,7186350,81383335,1096471,15297824,124373316
AU,Australia,YPDN,Darwin International Airport / RAAF Darwin,-12.41497,130.88185,Commercial Freighter,231,224751,2530420,10968,227714,2674350
AU,Australia,YPDN,Darwin International Airport / RAAF Darwin,-12.41497,130.88185,General Aviation,9754,351823,993431,96393,3848238,199196687
AU,Australia,YBCG,Gold Coast Airport,-28.165962,153.506641,Commercial Passenger,20529,16147591,220080500,1135153,20639936,188170207
AU,Australia,YBCG,Gold Coast Airport,-28.165962,153.506641,Commercial Freighter,197,115692,827340,10808,271324,2205880
AU,Australia,YBCG,Gold Coast Airport,-28.165962,153.506641,General Aviation,9060,168596,779354,38106,2662980,108434454
AU,Australia,YMML,Melbourne International Airport,-37.673302,144.843002,Commercial Passenger,111931,103996841,1527122657,7033354,119586147,1176083494
AU,Australia,YMML,Melbourne International Airport,-37.673302,144.843002,Commercial Freighter,5306,5938090,78573282,407887,7480120,68939498
AU,Australia,YMML,Melbourne International Airport,-37.673302,144.843002,General Aviation,518,422989,6608751,33401,426270,5879430
AU,Australia,YMMB,Melbourne Moorabbin Airport,-37.975799560546875,145.1020050048828,Commercial Passenger,2500,147554,644365,157161,2461992,8989899
AU,Australia,YMMB,Melbourne Moorabbin Airport,-37.975799560546875,145.1020050048828,General Aviation,36014,380587,1093667,60764,7478545,317742827
AU,Australia,YWLM,Newcastle Airport,-32.79499816894531,151.83399963378906,Commercial Passenger,9382,4245725,49401802,683104,7409976,72809414
AU,Australia,YWLM,Newcastle Airport,-32.79499816894531,151.83399963378906,Commercial Freighter,3,10440,153084,466,6280,77836
AU,Australia,YWLM,Newcastle Airport,-32.79499816894531,151.83399963378906,General Aviation,808,35399,148302,11201,215237,8822084
AU,Australia,YPPH,Perth International Airport,-31.94029998779297,115.96700286865234,Commercial Passenger,69912,56952654,762647813,5177933,71746437,680751017
AU,Australia,YPPH,Perth International Airport,-31.94029998779297,115.96700286865234,Commercial Freighter,849,797731,11056051,102794,576147,6737972
AU,Australia,YPPH,Perth International Airport,-31.94029998779297,115.96700286865234,General Aviation,2515,488800,5470332,145146,1437006,21630380
AU,Australia,YPJT,Perth Jandakot Airport,-32.09749984741211,115.88099670410156,Commercial Passenger,6521,477557,2400222,336426,9119615,30640637
AU,Australia,YPJT,Perth Jandakot Airport,-32.09749984741211,115.88099670410156,General Aviation,26939,407618,1046489,144813,5689870,229673688
AU,Australia,YSBK,Sydney Bankstown Airport,-33.923618,150.990792,Commercial Passenger,3382,233063,941830,238574,1995335,12832409
