,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
0,United Kingdom of Great Britain and Northern Ireland (the),Aberdeen Dyce Airport,57.2019,-2.19778,25770,7777487,74546107
4,United Arab Emirates (the),Abu Dhabi International Airport,24.443764,54.651718,64812,81546035,1481794132
8,Turkey,Adana Şakirpaşa Airport,36.982201,35.280399,21739,12945388,168252645
12,Ethiopia,Addis Ababa Bole International Airport,8.97789,38.799301,48898,61539362,1131850126
16,United States of America (the),Addison Airport,32.9686012268,-96.8364028931,47537,698723,2792689
20,Australia,Adelaide International Airport,-34.947512,138.533393,49531,27428420,341648806
24,Australia,Adelaide Parafield Airport,-34.793300628699996,138.632995605,31179,252654,1078880
27,Turkey,Adnan Menderes International Airport,38.2924,27.157,29914,23328556,315804440
31,Spain,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,188687,182413884,2798892349
35,Mexico,Aeropuerto Internacional Gral. Abelardo Rodriguez,32.545963,-116.975856,42996,32601453,475057178
39,Mexico,Aeropuerto Internacional Lic. Benito Juárez,19.435433,-99.082432,173727,145134384,2178332123
43,Mexico,Aeropuerto Internacional Lic. Gustavo Díaz Ordaz,20.679746,-105.246685,24043,17654929,251303277
47,Mexico,Aeropuerto Internacional Miguel Hidalgo,20.523342,-103.310108,65345,54100627,786468851
51,Mexico,Aeropuerto Internacional de Cancún,21.039444,-86.874304,99144,87517860,1317694298
55,Mexico,Aeropuerto Internacional de Los Cabos,23.151919,-109.720731,25615,20891599,294938820
58,Brazil,Afonso Pena Airport,-25.5285,-49.1758,22607,15515936,199590384
62,United States of America (the),Albany International Airport,42.74829864501953,-73.80169677734375,23063,11019822,137724875
66,United States of America (the),Albuquerque International Sunport,35.039976,-106.608925,49976,21837505,261218284
70,Spain,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,49494,36635675,475849327
74,Kazakhstan,Almaty International Airport,43.354267,77.042828,37690,39831689,592592955
78,Netherlands (the),Amsterdam Airport Schiphol,52.308601,4.76389,224607,218928535,3242798879
82,Turkey,Antalya International Airport,36.898701,30.800501,110140,92554677,1313345960
86,United States of America (the),Arlington Municipal Airport,48.161448,-122.158442,11397,109334,323366
87,United States of America (the),Arlington Municipal Airport,32.66389846801758,-97.09429931640624,26316,331922,1294324
93,United States of America (the),Asheville Regional Airport,35.436199,-82.541801,26521,8590997,104157686
96,Greece,Athens Eleftherios Venizelos International Airport,37.936401,23.9445,107681,77709517,1143136132
100,United States of America (the),Auburn University Regional Airport,32.615101,-85.433998,22424,287163,1094301
104,New Zealand,Auckland International Airport,-37.01199,174.786331,76298,62440920,1060599170
108,United States of America (the),Austin Bergstrom International Airport,30.197535,-97.662015,117435,79200396,1032711490
112,Bahrain,Bahrain International Airport,26.267295,50.63764,44648,50128798,838301792
